A level	상급학년시험
Caesarean section	개복 분만법/제왕절개 수술
Caesarism	제국주의/독재군주제/황제 정치주의
Cain	카인/형제 살해범
Cairo	카이로
Caith.Caithness	스코틀랜드의 주
Cajun	그 방언/앨라바마주.미시시피주 남부의 백인과 인디언의 튀기
Calais	칼레
Calcutta	캘커타
Caldecott award	콜더곳상
Caldwell	콜드웰
Caledonia	칼레도니아
Caledonian	스코틀랜드의/옛 스코틀랜드의
California	캘리포니아
California Current	캘리포니아 해류
California poppy	금영화
California tilt	쪽이 낮게 경사진 자동차
Californian	캘리포니아주의
Californicate	...의 경관을 망치다
Calliope	칼리오페/증기 오르간
Callisto	칼리스토/목성의 위성의 하나
Calor gas	가정용 액화 부탄 가스
Calvary	시련/고난/그리스도의 수난상
Calvin	칼뱅/남자이름
Calvinistic	칼뱅파의
Calypso	칼립소/풍선난초/토성으 제 14위성
Cambodia	캄보디아
Cambodian	크메르말/캄보디아의/캄보디아사람
Cambrian	웨일스의/캄브리아기/웨일스 사람/캄브리아기의
Cambridge	케임브리지 대학/영국 케임브리지주의 대학도시
Cambridge University	케임브리지 대학
Cambridge blue	담청색
Cambridgeshire	케임브리지셔 잉글랜드 동부의 주
Camelot	캐멀롯
Camembert	부드럽고 맛이 짙은 프랑스제 치즈
Cameroon	카메룬/카메룬의
Camilla	카밀라/여자이름
Camorra	카모라/비밀 단체
Camp David	캠프 데이비드
Campagna	평원/넓은 평야
Camus	카뮈
Canaan	낙원/이상향/가나안 땅/약속의 땅/신이 유대인에게 약속한 땅
Canaanite	가나안 사람
Canada	캐나다
Canada balsam	캐나다 발삼
Canada goose	캐나다 기러기
Canadian	캐나다 의/캐나다 사람/캐나다 영어 특유의 어법
Canadian French	캐나다 프랑스 말
Canadian bacon	캐나다식 베이컨
Canal Zone	파나마 운하 지대
Canary Islands	카나리아 제도
Canberra	캔버라
Candlemas	촛불행렬을 함/성촉절 2월2일/성모마리아의 순결을 기념하는 축제일
Canicula	천량성
Canis	개속
Canis Major	큰개자리
Canis Minor	작은개자리
Cannes	칸 프랑스 남동부의 피한지/해마다 국제 영화제가 열림
Cantabrigian	케임브리지대학의
Canterbury	악보대/보면대/캔터베리
Canterbury Tales	캔터베리 이야기
Canterbury bell	초롱꽃
Cantervury tale	지어낸 이야기/지리한 이야기
Canton	광둥
Canton crepe	광둥 크레이프
Canton flannel	광둥플란넬
Cantonese	광둥말/광둥의/광둥사람/광둥 말의
Canuck	캐나다 사람/캐나다종의 말/프랑스계 캐나다사람
Canute	카뉴트/덴마크왕/노르웨이왕겸함
Cap.let	상표명/캐플릿
Capcom	우주선과의 교신 담당자
Cape Canaveral	케이프 카내베랄
Cape Cod	케이프코드
Cape Cod cottage	지붕이 물매가 싸고 굴뚝이 하나인 목조 단층집
Cape Colored	유럽인과 남아프리카인의 혼혈아
Cape Horn	케이프 혼
Cape Province	남아프리카 공화국의 한 주
Cape Town	케이프타운
Cape Verde	카보베르데
Cape boy	흑백 튀기의 남아프리카인
Cape bufflao	아프리카물소
Capella	카펠라
Capernaum	가버나움
Capetian	카페왕조의
Capitol	국회의사당/주의 의회의사당
Capitol Hill	미국 의회/국회의사당이 있는 곳
Capitoline	카피톨 언덕
Capone	카포네
Capri	카프리섬
Capri pants	발목께가 홀쪽한 여자용캐주얼 바지
Capricorn	마갈궁/염소자리/염소자리 태생인 사람
Capuchin	카푸친회의 수도사/흰목꼬리감기원숭이/후드달린 여자용 망토
Car Sleeper	여객과 승용차의 동시 수송 서비스
Caracas	카라카스
Carbonari	카르보나리당
Carboniferous	석탄기/석탄기의/석탄을 산출하는
Carborundum	카보런덤
Cardiff	카다프
Carey Street	파산/케리가
Carib	카리브말/카리브사람
Cariban	카리브 어족
Caribbean	카리브사람/카리브사람의
Caribbean 	카리브해
Caricom	카리브 공동체
Carina	용골자리/여자이름
Carism	카를로스 주의/프랑스의 샤를르 10세파의 운동
Carl	남자이름
Carl Comedian	어색한 농담꾼
Carley float	칼리식 구명 고무 보트
Carlisle	칼라일
Carlowitz	카를로비츠
Carlton Club	칼턴 클럽
Carlyle	칼라일
Carmelite	카르멜회의
Carmen	여자이름
Carnaby Street	카나비 거리/젊은이의 패션
Carnegie	카네기
Carnegie Hall	카네기 홀
Carnegie unit	카네기 학점
Carnivora	육식류/육식 동물
Carol	여자이름/남자이름
Carolina	캐롤라이나
Caroline	여자이름/영국왕 찰스 1세 및 2세의
Caroline Islands	캐롤라인 제도
Carolingian	카롤링 왕조의/카롤링 왕조풍의
Carpathian	카르파티아 산맥/카르파티아 산맥의
Carrie	여자이름
Carroll	캐롤
Carson City	카슨시티
Carter	카터
Cartesian	데카르트의/데카르트학도
Cartesian coordinate	데카르트 좌표
Cartesian diver	무자맥질 인형
Carthage	카르타고
Carthaginian	카르타고의
Carthusian	카프투지오 수도회의
Caruso	카루소
Casablanca	카사블랑카
Casanova	색골/엽색꾼
Cascade Range	캐스케이드 산맥
Case	컴퓨터 원용 소프트웨어 공학
Caspian Sea	카스피해
Cass	여자이름
Cassandra	카산드라/불행한 일의예언자
Cassiopeia	카시오페이아자리
Cassiopeia's Cahir	카시오페이아의 의자
Castalia	시의 영천/카스탈리아 샘
Castalian	시적인
Castile	카스티야
Castile soap	카스티야 비누
Castle Catholic	영국의 북아릴랜드 지배를 지지하는 카톨릭교도
Castor	카스토르
Castro	카스트로
Castroite	카스트로 지지자/카스트로를 지지하는
Catalan	카탈로니아의/카탈로니아 사람/카탈로니아 사람의
Catalin	보석
Catalonia	카탈로니아
Catawba	카토바 포도/카토바 백포도주
Catharina	여자이름
Catherina	여자이름
Catherine wheel	회전 불꽃
Catholic	구교도/구교의/일반적인/보편적인/천주교의/표용적인/서방교회/도량이 넓은/만인에 공통되는/로마카톨릭교회의/민인이 관심을 가지는/영국국교교회 고교회파의
Catholic Apostolic Church	카톨릭 사도 교회
Catholic Church	천주교회/전기독교회/카톨릭 교회
Catholic Emancipation	구교도해방
Catholic Epistles	공동서한
Catholicism	천주료/카톨릭교/카톨릭교 신앙
Cathy	여자이름
Catiline	카틸리나
Cato	카토
Caucasia	코카서스
Caucasian	백인/백색 인종의/코카서스 사람/코카서스 언어/코카서스지방의/코카서스 언어의/코카서스 사람의
Caucasoid	코카소이드의
Caucasus	코카서스산맥
Caxton	캑스턴/캑스턴판/캑스턴 활자체
Cayley	케일리암 달 표면 고지의 파인 곳에 채워진 각력암질
Cayuga	카유가족
Cecil	남자이름
Cecile	여자이름
Cecillia	여자이름/성세실리아
Cecily	여자이름
Cedric	남자 이름
Ceefax	문자 다중방송시스템
Celanese	셀라니즈
Celebes	셀레베스
Celestial City	하늘의 도시/새 예루살렘
Celestial Empire	중국 왕조
Celia	여자이름
Celluloid	영화/영화의/셀룰로이드
Celotex	상표명/셀로텍스 건물의 절연 및 방음용 합성판
Celsius	섭씨/셀시우스
Celsius thermometer	섭씨 온도계
Celt	켈트사람
Celtic	켈트족의/켈트말의/켈트 말
Celtic cross	켈트 십자가
Celtic fringe	켈트 외곽인
Celtic twilight	켈트의 어스름
Celticism	켈트말투/켈트인 기질
Cenozoic	신생대층/신생대의
Cenozoic era	신생대
Centra Region	센트럴 리전
Central African Repulbic	중앙 아프리카 공화국
Central America	중미/중앙 아메리카
Central American	중미사람/중앙아메리카의
Central Asia	중앙아시아
Central Intelligence Agency	중앙 정보국
Central Park	센트럴 파크
Central Powers	동맹제국
Central Time	중부 표준시
Centralia	센트레일리아
Cepheid 	케페이드 변광성
Cepheus	케페우스자리
Cerberean	엄하고 무서운
Cerberus	케프베로스/납포로 싸다
Cerenkov radiation	체렌코프 방사선
Cerenkoy radiation	체렌코프 방사
Ceres	케레스
Cervantes	세르반테스
Cesarevitch	러시아 황태자
Cessna	세스너기
Cetacea	고래류
Cetus	고래자리
Ceylon	실론/실론 섬
Ceylonese	실론의/실론 사람
Cezanne	세잔 프랑스의 후기 인상파 화가
Chablis	샤블리 포도주
Chagall	샤갈
Chaldea	칼데아
Chaldean	점성가/칼데아말/칼데아의/칼데아 사람
Chamberlain	체임벌린
Champs Elysees	샹젤리제
Chancellor of the Exchequer	재무 장관
Chandler	챈들러
Chandler's) wobble	자유 요동/챈들러 요동
Channel Islands	해협제도
Chaplin	채플린
Charing Cross	채링 크로스
Charlemagne	샤를마뉴 대제
Charles	남자이름
Charles's Wain	북두칠성/큰곰자리
Charleston	찰스턴
Charley	야경/백인/야간 순찰
Charlotte	샬럿/여자이름
Charmeuse	샤르뫼즈
Charolais	주로 식육.교배용/샤롤레 프랑스 원산의 큰 흰소
Charon	카론/나루지기
Charterhouse	차터하우스 양로원/카르투지오회 수도원
Charterhouse School	카르투지오 스쿨
Chartism	인민 헌장 운동
Chartist	지도 작성자/증권 시장 전문가/인민 헌장 운동의/인민 헌장 운동 참가자
Chartreuse	연두빛/연두빛의/카르투지오회 수도원/그 수도원에서 만드는 최고급의 리큐어 술
Charybdis	카리브디스
Chattanooga	채터누가
Chaucer	초서
Checkpoint Charlie	검문소/체크 포인트 찰리
Cheddar 	체더 치즈
Cheka	체카/바상 위원회
Chekhov	체호프
Chellean	셸기
Chelsea	첼시
Chelsea bun	건포도 롤빵
Chelsea pensioner	첼시 폐병 병원 입원자
Chelsea ware	첼시 도자기
Chequers	수상의 지방 관저
Cherokee	체로키말/체로키 족/체로키족의 사람
Chesapeake Bay	체사피크만
Cheshire	체셔
Cheshire cheese	체셔 치즈 크고 둥글 넓적함
Chester White	체스터 화이트
Chesterfield	소파/체스터필드/침대 겸용 소파/자락이 긴 남자용 오버코트의 일종
Chesterfieldian	우미한/정중한/귀족다운/품위 있는/체스터필드 백작풍의
Chetnik	체트니크
Cheviot Hills	체비엇 힐스
Chevrolet	시보레
Cheyenne	샤이엔족/샤이언 말/샤이엔 족의 사람
Chfistology	그리스도론/그리스도 연구
Chiang Kai shek	장개석
Chianti	캭티
Chibcha	치브차 말/치브차 족/치브차족의 사람
Chicago	시카고
Chicago Convention	시카고 조약
Chicagoan	시카고 시민
Chicana	치카나/치카나의
Chicano	치카노/치카노의
Chichester	치체스터
Chickasaw	치카소족
Chicom	중공의/중국공산당원/중국공산당원의
Chief Executive	대통령/주지사
Chief Rabbi	유대교 최고 지도자/유대인 사회의 종교상의 장
Chihuahua	치와와
Childermas	아기의 날
Chile	칠레
Chile saltpeter	칠레 초석/질산 나트륨
Chilean	칠레의/칠레사람/칠레사람의
Chillon	시용
Chiltern Hundreds	잉글랜드 중남부의 구릉지대
China	중국/중국의
China Sea	지나해
China aster	과꽃
China rose	월계화/불상화/하이비스커스
China tea	중국차
China tree	멀구슬 나무
China watcher	중국통/중국문제 전문가
Chinaman	중국인
Chinatown	차이나 타운/중국인 거리
Chinee	중국인
Chinese	중국말/중국의/중국 사람
Chinese Empire	중국왕조
Chinese Revolution	중국 혁명
Chinese Wall	만리 장성
Chinese character	한자
Chinese checkers	다이아몬드게임
Chinese copy	결점까지 완벽하게 모방한 모조품
Chinese ink	먹
Chinese lantern	초롱
Chinese puzzle	난문/난해한 퍼즐/복잡하고 난해한것
Chinese red	주홍색/헤로인
Chinese white	안연백
Chinese wood oil	등유
Ching	청/청조
Chink	중국 사람
Chinook	치누크족/치누크 말/치누크 바람/치누크 족의 사람
Chinook Jargon	치누크와 영어.프랑스어의 혼성어
Chinookan	치누크 어족/치누크 사람의
Chippendale	치펜데일식의
Chippewa	치피와 사람
Chiron	케이론로서 예언.의술.음악에 능했음
Chisanbop	상표명/지산법 산술 초보를 가르치는 손가락 계산법
Chloe	클로에/여자이름
Chloromycetin	클로로마이세틴
Choctaw	촉토 말/못 알아들을 말/촉토족의 한 사람/촉토족 아메리카 인디언의 한 종족/촉토 피겨 스케이티아 스텝의 한 가지
Chomsky	촘스키
Chongqing	충칭
Chopin	쇼팽
Chou En lai	주은래
Chris	여자이름/남자 이름
Chrissake	제발 부탁인데
Chrissie	여자이름
Christ	제기랄/구세주/그리스도
Christ child	아기 예수
Christ's thorn	갯대추나무속의 일종
Christendom	기독교국/기독교계/전기독교도
Christhood	그리스도임/그리스도의 성격
Christian	사람/문명인/점잖은/사람다운/기독교의/기독교도/남자이름/존경할만한/그리스도의/기독교도의/훌륭한 사람/기독교를 믿는/기독교도 다운/이웃을 사랑할 줄 아는
Christian Era	서력 기원
Christian Science	크리스천 사이엔스
Christian Socialism	기독교 사회주의
Christian Socialist	기독교 사회주의자
Christian burial	교회장
Christian name	세례명
Christian year	교회 역년
Christiana	여자이름
Christiania	크리스차니아 회전
Christianism	기독교주의/기독교 교리
Christianity	기독교/기독교 교파/기독교적 신앙
Christianization	기독교화
Christianize	기독교화하다/기독교 신자로 만들다
Christianly	기독교도다운
Christie	크리스티/남자이름/여자이름
Christie's	크리스티스
Christine	여자이름
Christless	기독교를 믿지 않는/기독교 정신에 어긋나는
Christlike	그리스도 같은
Christly	그리스도의
Christmas	성탄절/크리스마스
Christmas Day	성탄절/크리스마스
Christmas Eve	크리스마스 전야/크리스마스 이브
Christmas book	크리스마스에 읽을 책
Christmas cake	크리스마스 케이크
Christmas card	크리스마스 카드/속도 위반 딱지
Christmas carol	크리스마스 캐롤
Christmas club	크리스마스 클럽
Christmas holidays	겨울 방학/크리스마스 휴가
Christmas present	크리스마스 선물
Christmas pudding	크리스마스 푸딩
Christmas rose	크리스마스 로즈
Christmas seal	크리스마스 실
Christmas stocking	산타클로스의 선물을 받기 위해 걸어두는 양말
Christmas tree	크리스마스 트리
Christmasbox	크리스마스선물
Christmastide	크리스마스계절
Christmasy	크리스마스다운
Christo	그리스도의 뜻
Christological	그리스도론의
Christophany	그리스도의 재현
Christopher	남자 이름
Christy's minstrels	크리스티 악단
Chruchillian	처칠의
Chryseis	크리세이스
Chrysler	크라이슬러
Church Army	처치아미
Church Commissiners	국교 재무 위원회
Churchill	처칠
Cicero	케케로
Ciceronian	웅변의/키케로 숭배자/키케로 연구가/키케로식의 장중하고 단아한
Cigarette hull	시거레트/먼 바다레이스용 대형 모터보트
Cilicia	실리시아
Cimmerian	암흑의/음산한/키메르 사람의/키메르족의 사람
Cincinnati	신시내티
Cincinnatus	숨은 위인/킨키나투스
Cinderella	신데렐라/숨은 미인/일약 유명해진 사람/의붓딸 뒤급받는 사람
Cinderella complex	신데렐라 콤플렉스
Cinderella dance	밤 12시에 끝나는 소무도회
CinemaScope	시네마스코프
Cinerama	시네라마
Cingalese	실론말/실론 사람
Cinque Ports	5항
